word,frequency
그런,30123
이제,28758
그래서,25654
많이,23446
조금,20930
근데,17416
이런,15500
하고,15183
인제,13747
있는,13087
그냥,12752
너무,12229
내가,12207
그리고,12068
되게,11787
같은,11484
하는,9901
때문에,9323
같아요,8874
혹시,8119
어떤,7863
생각을,7519
보니까,7327
정말,7011
우리,6647
진짜,6554
해서,6493
그게,6493
같아,6415
어떻게,6403
있고,6380
약간,6091
같이,6060
그러니까,5851
것도,5810
다른,5801
굉장히,5545
있는데,5536
이게,5402
좋은,5093
생각이,5082
그때,4895
저도,4844
대해서,4491
보고,4292
거는,4267
저희,4255
가장,4250
제일,4208
때는,4126
그래도,4042
되는,3974
좋아하는,3944
그러면,3881
사실,3850
쪼끔,3822
한번,3818
있어요,3817
보면,3679
거예요,3610
하는데,3576
일단,3533
싶은,3527
되고,3522
거야,3513
가서,3496
계속,3478
해야,3476
아니면,3394
먹고,3365
했는데,3158
거를,3131
정도,3100
있어,3037
하면,2977
뭔가,2966
있어서,2956
사람들이,2932
많은,2869
항상,2866
그거,2862
사람이,2849
없는,2843
엄청,2801
나도,2742
적이,2668
같고,2661
요즘,2612
우리가,2587
다시,2571
그래가지고,2558
가지고,2552
거의,2552
아무래도,2534
하면서,2519
중에,2509
기억이,2508
가고,2501
보면은,2412
대한,2397
그걸,2388
일을,2364
영화,2350
있을,2342
그럼,2288
먹는,2260
여러,2254
기억에,2249
별로,2242
같은데,2223
지금은,2223
어느,2182
아까,2180
보는,2130
전에,2123
아니라,2067
그런데,2060
거기,2010
그거를,2008
수도,2005
알고,2001
경우는,1995
쪼금,1989
가는,1973
같습니다,1958
않고,1957
얘기를,1947
하지만,1886
저희가,1883
솔직히,1875
만약에,1863
영화를,1848
가지,1840
해가지고,1831
사람,1814
하나,1812
생각해,1794
했던,1777
위해서,1757
없고,1753
최근에,1749
자주,1740
되는데,1711
선물을,1696
아니고,1674
하니까,1656
물론,1649
집에,1642
자기,1640
거기서,1637
